@relation 'MLC'

@attribute F1_MEAN_on_ACC_X numeric
@attribute F2_MEAN_on_ACC_Y numeric
@attribute F3_MEAN_on_ACC_Z numeric
@attribute class {BoatPose, UpwardPlank, BowPose, TheTree, Bridge, TheExtendedSideAngle, ChildsPose, StandingStill, CobraPose, StandingMoving, DownwardFacingDog, SeatedForwardBend, MeditationPose, Plank}

@data
0.35498, 0.00803375, 0.931152, BoatPose
0.349365, -0.00151825, 0.935059, BoatPose
0.338867, -0.00591278, 0.943359, BoatPose
0.332031, -0.000759602, 0.943359, BoatPose
0.339844, -0.0151825, 0.938477, BoatPose
0.341797, 0.00702667, 0.938965, BoatPose
0.344238, -0.0158234, 0.935547, BoatPose
0.343018, -0.0311127, 0.942871, BoatPose
0.341797, -0.0505676, 0.938477, BoatPose
0.333496, -0.0550232, 0.941406, BoatPose
0.334961, -0.0610352, 0.937988, BoatPose
0.330566, -0.0600891, 0.935059, BoatPose
0.321045, -0.0767822, 0.956543, BoatPose
0.32666, -0.0831299, 0.937988, BoatPose
0.323486, -0.107239, 0.935547, BoatPose
0.31665, -0.115356, 0.95459, BoatPose
0.313232, -0.116211, 0.943359, BoatPose
0.310059, -0.0953979, 0.936035, BoatPose
0.524902, 0.015274, 0.850098, BoatPose
0.521973, 0.00871277, 0.850098, BoatPose
0.501465, 0.0125885, 0.871582, BoatPose
0.501465, 0.0122223, 0.86084, BoatPose
0.499512, 0.0119095, 0.863281, BoatPose
0.496826, -0.0039444, 0.863281, BoatPose
0.48584, -0.00190735, 0.876953, BoatPose
0.485107, -0.0172882, 0.864746, BoatPose
0.474121, -0.0217285, 0.880371, BoatPose
0.471924, -0.0209045, 0.88623, BoatPose
0.467529, -0.021698, 0.880859, BoatPose
0.469238, -0.0270691, 0.886719, BoatPose
0.466797, -0.0172577, 0.878906, BoatPose
0.48584, 0.00763702, 0.867676, BoatPose
0.494385, -0.0184937, 0.873535, BoatPose
0.499512, -0.0132675, 0.856934, BoatPose
0.470215, -0.0352173, 0.891113, BoatPose
0.474609, -0.0609741, 0.878418, BoatPose
0.455811, -0.0568542, 0.896484, BoatPose
0.455078, -0.0772095, 0.875977, BoatPose
0.435547, -0.0979614, 0.900391, BoatPose
-0.365967, -0.0533142, 0.929688, UpwardPlank
-0.362061, -0.126099, 0.927246, UpwardPlank
-0.365234, -0.107544, 0.930176, UpwardPlank
-0.367188, -0.0962524, 0.931641, UpwardPlank
-0.359375, -0.104919, 0.933594, UpwardPlank
-0.35498, -0.112366, 0.935059, UpwardPlank
-0.352783, -0.107178, 0.935059, UpwardPlank
-0.350342, -0.116089, 0.936035, UpwardPlank
-0.350586, -0.113342, 0.935547, UpwardPlank
-0.348145, -0.106018, 0.936035, UpwardPlank
-0.353027, -0.0915527, 0.935059, UpwardPlank
-0.341797, -0.110046, 0.938965, UpwardPlank
-0.337891, -0.128418, 0.936523, UpwardPlank
-0.337158, -0.120361, 0.9375, UpwardPlank
-0.333984, -0.122803, 0.937988, UpwardPlank
-0.332275, -0.133789, 0.937988, UpwardPlank
-0.334473, -0.123169, 0.9375, UpwardPlank
-0.334961, -0.112488, 0.937988, UpwardPlank
-0.338379, -0.112671, 0.9375, UpwardPlank
-0.337891, -0.117859, 0.936035, UpwardPlank
-0.33374, -0.120483, 0.937988, UpwardPlank
-0.329834, -0.134399, 0.938477, UpwardPlank
-0.326904, -0.125977, 0.939453, UpwardPlank
-0.324707, -0.127563, 0.937988, UpwardPlank
-0.320801, -0.132813, 0.938965, UpwardPlank
-0.320313, -0.11853, 0.940918, UpwardPlank
-0.31958, -0.11969, 0.940918, UpwardPlank
-0.31665, -0.119324, 0.941406, UpwardPlank
-0.320557, -0.109741, 0.941406, UpwardPlank
-0.320313, -0.114929, 0.94043, UpwardPlank
-0.314209, -0.11731, 0.943359, UpwardPlank
-0.542969, 0.23645, 0.76416, UpwardPlank
-0.611816, 0.25, 0.749023, UpwardPlank
-0.511719, 0.194336, 0.829102, UpwardPlank
-0.419189, 0.233398, 0.871582, UpwardPlank
-0.433838, 0.268799, 0.854492, UpwardPlank
-0.422607, 0.265869, 0.859375, UpwardPlank
-0.426025, 0.265625, 0.860352, UpwardPlank
-0.420166, 0.263672, 0.862793, UpwardPlank
-0.425049, 0.283203, 0.853027, UpwardPlank
-0.428711, 0.284668, 0.850586, UpwardPlank
-0.425293, 0.294189, 0.847168, UpwardPlank
-0.420654, 0.29248, 0.852051, UpwardPlank
-0.416016, 0.289063, 0.855469, UpwardPlank
-0.416016, 0.317139, 0.845215, UpwardPlank
-0.424561, 0.363281, 0.820313, UpwardPlank
-0.433838, 0.376953, 0.811523, UpwardPlank
-0.423096, 0.306641, 0.846191, UpwardPlank
-0.427979, 0.299316, 0.84668, UpwardPlank
-0.43042, 0.234375, 0.865723, UpwardPlank
-0.426514, 0.254395, 0.86084, UpwardPlank
-0.418457, 0.25, 0.869141, UpwardPlank
-0.427246, 0.261719, 0.859375, UpwardPlank
-0.423584, 0.275879, 0.85791, UpwardPlank
-0.418213, 0.269775, 0.86084, UpwardPlank
-0.419189, 0.283691, 0.856934, UpwardPlank
0.784668, -0.188232, 0.588867, BowPose
0.782715, -0.1875, 0.591797, BowPose
0.785156, -0.181641, 0.588867, BowPose
0.789551, -0.180542, 0.586914, BowPose
0.785156, -0.179077, 0.592285, BowPose
0.783691, -0.178589, 0.593262, BowPose
0.782715, -0.181885, 0.592773, BowPose
0.782227, -0.17981, 0.594238, BowPose
0.785156, -0.176025, 0.592773, BowPose
0.78418, -0.174438, 0.591797, BowPose
0.78418, -0.176636, 0.592285, BowPose
0.781738, -0.178833, 0.595703, BowPose
0.781738, -0.181274, 0.597656, BowPose
0.781738, -0.181396, 0.597656, BowPose
0.781738, -0.18042, 0.595703, BowPose
0.78418, -0.17688, 0.593262, BowPose
0.781738, -0.18042, 0.596191, BowPose
0.781738, -0.17981, 0.594238, BowPose
0.781738, -0.178589, 0.596191, BowPose
0.781738, -0.18042, 0.597656, BowPose
0.781738, -0.176392, 0.596191, BowPose
0.782715, -0.177368, 0.593262, BowPose
0.782227, -0.182251, 0.594238, BowPose
0.78125, -0.18811, 0.596191, BowPose
0.78125, -0.188354, 0.595703, BowPose
0.78125, -0.188232, 0.595703, BowPose
0.781738, -0.181274, 0.59375, BowPose
0.781738, 0.125366, 0.606445, BowPose
0.775879, 0.112, 0.617188, BowPose
0.773926, 0.114136, 0.618164, BowPose
0.773438, 0.112122, 0.621094, BowPose
0.770996, 0.103699, 0.623535, BowPose
0.771973, 0.103271, 0.623535, BowPose
0.774902, 0.0929565, 0.623047, BowPose
0.776367, 0.0933228, 0.620117, BowPose
0.774414, 0.0960693, 0.621094, BowPose
0.773926, 0.0905151, 0.62207, BowPose
0.775879, 0.0968018, 0.620117, BowPose
0.774414, 0.0923462, 0.623047, BowPose
0.776855, 0.0895996, 0.620605, BowPose
0.775879, 0.0922852, 0.622559, BowPose
0.773438, 0.0941162, 0.624023, BowPose
0.771973, 0.09021, 0.624023, BowPose
0.77002, 0.0896606, 0.627441, BowPose
0.773926, 0.0934448, 0.623535, BowPose
0.774902, 0.0900269, 0.623047, BowPose
0.776855, 0.0928345, 0.620605, BowPose
0.773926, 0.0930786, 0.624023, BowPose
0.771973, 0.0932007, 0.623535, BowPose
0.774902, 0.0967407, 0.624023, BowPose
0.776367, 0.0960083, 0.62207, BowPose
0.776855, 0.0969849, 0.62207, BowPose
0.771484, 0.0969849, 0.622559, BowPose
0.773438, 0.0990601, 0.623535, BowPose
0.770996, 0.0934448, 0.625488, BowPose
0.774414, 0.0889282, 0.624023, BowPose
0.777344, 0.0915527, 0.620117, BowPose
0.774902, 0.0935059, 0.62207, BowPose
-0.0776367, -0.183838, -0.985352, TheTree
-0.0701294, -0.174072, -0.992676, TheTree
-0.069458, -0.141968, -0.996582, TheTree
-0.0699463, -0.134766, -0.997559, TheTree
-0.0739746, -0.134521, -0.998535, TheTree
-0.0742188, -0.127197, -0.998535, TheTree
-0.0759888, -0.129517, -0.999023, TheTree
-0.0750122, -0.126831, -0.998535, TheTree
-0.0771484, -0.134521, -0.997559, TheTree
-0.0797119, -0.130737, -0.998047, TheTree
-0.0794067, -0.137695, -0.998047, TheTree
-0.0817261, -0.13916, -0.998047, TheTree
-0.0812378, -0.140869, -0.996582, TheTree
-0.0788574, -0.154907, -0.994141, TheTree
-0.0848389, -0.138672, -0.996094, TheTree
-0.0849609, -0.127197, -0.998047, TheTree
-0.0866699, -0.122131, -0.999023, TheTree
-0.086792, -0.127319, -0.999023, TheTree
-0.0849609, -0.131836, -0.995605, TheTree
-0.086792, -0.135742, -0.996094, TheTree
-0.0852661, -0.138062, -0.994141, TheTree
-0.0840454, -0.133789, -0.998535, TheTree
-0.0860596, -0.129028, -0.999023, TheTree
-0.0886841, -0.124023, -0.998047, TheTree
-0.0899658, -0.127319, -0.998047, TheTree
-0.517578, -0.197021, -0.841309, TheTree
-0.521973, -0.194946, -0.839355, TheTree
-0.524414, -0.195313, -0.840332, TheTree
-0.527344, -0.205811, -0.834473, TheTree
-0.538574, -0.2052, -0.824219, TheTree
-0.533203, -0.201294, -0.831543, TheTree
-0.532227, -0.204102, -0.82959, TheTree
-0.530273, -0.212524, -0.831543, TheTree
-0.527344, -0.212646, -0.835938, TheTree
-0.529785, -0.223145, -0.827148, TheTree
-0.529785, -0.209961, -0.831543, TheTree
-0.537598, -0.202759, -0.826172, TheTree
-0.545898, -0.214233, -0.822754, TheTree
-0.54834, -0.22229, -0.810059, TheTree
-0.537598, -0.216919, -0.825684, TheTree
-0.5625, -0.211914, -0.807129, TheTree
-0.558594, -0.195679, -0.818359, TheTree
-0.559082, -0.190186, -0.81543, TheTree
-0.55957, -0.191406, -0.817871, TheTree
-0.557617, -0.197876, -0.815918, TheTree
-0.562012, -0.20874, -0.807617, TheTree
-0.568359, -0.209106, -0.808105, TheTree
-0.574219, -0.236328, -0.79541, TheTree
-0.969238, -0.0901489, 0.235229, Bridge
-0.969727, -0.0823364, 0.233887, Bridge
-0.969727, -0.0806885, 0.233398, Bridge
-0.969238, -0.0977173, 0.241089, Bridge
-0.967773, -0.0883789, 0.241699, Bridge
-0.970215, -0.0965576, 0.240601, Bridge
-0.962891, -0.123108, 0.249512, Bridge
-0.969238, -0.0922852, 0.241211, Bridge
-0.967285, -0.114258, 0.245239, Bridge
-0.967773, -0.101929, 0.243286, Bridge
-0.967285, -0.097229, 0.241333, Bridge
-0.969238, -0.100159, 0.241211, Bridge
-0.96875, -0.0970459, 0.23999, Bridge
-0.969238, -0.0962524, 0.241699, Bridge
-0.967285, -0.100769, 0.241943, Bridge
-0.96875, -0.0942993, 0.24231, Bridge
-0.969238, -0.0968018, 0.243042, Bridge
-0.96875, -0.09375, 0.244629, Bridge
-0.96875, -0.093811, 0.244629, Bridge
-0.967773, -0.0968628, 0.248901, Bridge
-0.96875, -0.100098, 0.248779, Bridge
-0.96875, -0.0934448, 0.247437, Bridge
-0.966797, -0.113098, 0.254639, Bridge
-0.967285, -0.0987549, 0.25, Bridge
-0.967773, -0.102295, 0.25, Bridge
-0.967285, -0.09375, 0.247192, Bridge
-0.96875, -0.095459, 0.248291, Bridge
-0.964844, -0.117188, 0.255859, Bridge
-0.967285, -0.10199, 0.251709, Bridge
-0.964355, -0.117737, 0.256348, Bridge
-0.993164, -0.0604553, 0.140747, Bridge
-0.991211, -0.0735474, 0.146851, Bridge
-0.98877, -0.079834, 0.146851, Bridge
-0.990234, -0.0810547, 0.150757, Bridge
-0.992188, -0.0693359, 0.150146, Bridge
-0.98877, -0.0874023, 0.155518, Bridge
